URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://ahip.org/demographics/ValueSet/ahip-background-asian-category,0.1.0,draft,,AHIPBackgroundAsianCategories,AHIP Asian Background Categories,"AHIP Asian Background Categories","Questionnaire/AHIPDemoQuestionnaire","THO (V3),hl7.terminology.r4,Other"
http://ahip.org/demographics/ValueSet/ahip-background-black-category,0.1.0,draft,,AHIPBackgroundBlackCategories,AHIP Black Background Categories,"AHIP Black Background Categories","Questionnaire/AHIPDemoQuestionnaire","THO (V3),hl7.terminology.r4,Other"
http://ahip.org/demographics/ValueSet/ahip-background-latino-category,0.1.0,draft,,AHIPBackgroundLatinoCategories,AHIP Hispanic Latino Background Categories,"AHIP Hispanic Latino Background Categories","Questionnaire/AHIPDemoQuestionnaire","THO (V3),hl7.terminology.r4,Other"
http://ahip.org/demographics/ValueSet/ahip-background-middle-eastern-category,0.1.0,draft,,AHIPBackgroundMiddleEasternCategories,AHIP Middle Eastern Background Categories,"AHIP Middle Eastern Background Categories","Questionnaire/AHIPDemoQuestionnaire","THO (V3),hl7.terminology.r4,Other"
http://ahip.org/demographics/ValueSet/ahip-background-native-american-category,0.1.0,draft,,AHIPBackgroundNativeAmericanCategories,AHIP Native American Background Categories,"AHIP Native American Background Categories","Questionnaire/AHIPDemoQuestionnaire","THO (V3),hl7.terminology.r4,Other"
http://ahip.org/demographics/ValueSet/ahip-background-native-hawaiian-category,0.1.0,draft,,AHIPRaceNativeHawaiianCategories,AHIP Native Hawaiian Background Categories,"AHIP Native Hawaiian Background Categories","Questionnaire/AHIPDemoQuestionnaire","THO (V3),hl7.terminology.r4,Other"
http://ahip.org/demographics/ValueSet/ahip-background-white-category,0.1.0,draft,,AHIPBackgroundWhiteCategories,AHIP White Background Categories,"AHIP White Background Categories","Questionnaire/AHIPDemoQuestionnaire","THO (V3),hl7.terminology.r4,Other"
http://ahip.org/demographics/ValueSet/ahip-birth-sex,0.1.0,draft,,AHIPBirthSex,AHIP Birth Sex,"Based on SNOMED CT and US Core Birth Sex Value Set","Questionnaire/AHIPDemoQuestionnaire","THO (V3),SCT,Other"
http://ahip.org/demographics/ValueSet/ahip-care-consideration,0.1.0,draft,,AHIPCareConsideration,AHIP Care Consideration Value Set,"AHIP Care Consideration Codes","Questionnaire/AHIPDemoQuestionnaire","THO (V3),Other"
http://ahip.org/demographics/ValueSet/ahip-demo-gender-identity,0.1.0,draft,,AHIPDemoGenderIdentityValueSet,AHIP Gender,"Based on HL7 Gender-Identity","Questionnaire/AHIPDemoQuestionnaire","THO (V3),hl7.fhir.r4.core,Other"
