URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/gender-identity,4.0.1,draft,"2.16.840.1.113883.4.642.4.973",GenderIdentity,Gender identity,"This example value set defines a set of codes that can be used to indicate a patient's gender identity.","ValueSet/ahip-demo-gender-identity"
http://loinc.org,3.1.0,active,"2.16.840.1.113883.6.1",LOINC,Logical Observation Identifiers, Names and Codes (LOINC),"LOINC provides a set of universal names and ID codes for identifying laboratory and clinical test results.1,2 LOINC facilitates the exchange and pooling of results, such as blood hemoglobin, serum potassium, or vital signs, for clinical care, outcomes management, and research. LOINC's universal identifiers (names and codes) can be used in the context of order and observation exchanges between information systems that use syntax standards such as HL73, CEN TC251, ISO TC215, ASTM4, and DICOM. Specifically, the identifier can be used as the coded value for an observation in any other standard that uses the observation/observation value paradigm, whether messages, documents, application programming interface (API), etc. For example, LOINC codes are used widely in the OBX segment Observation Identifier field (OBX-3) of an ORU HL7 (HL7 version 2.x or ASTM 1238-9410) message that may be sent between a Clinical Laboratory Information Management Systems (LIMS) and Electronic Health Record Systems (EHR).5, 6 In this way, LOINC codes provide universal identifiers that allow the exchange of clinical data between heterogeneous computing environments.","ValueSet/ahip-yes-no-plain,ValueSet/ahip-preferred-pronouns,ValueSet/ahip-yes-no"
http://snomed.info/sct,null,active,"2.16.840.1.113883.6.96",SNOMED_CT,SNOMED CT (all versions),"SNOMED CT is the most comprehensive and precise clinical health terminology product in the world, owned and distributed around the world by The International Health Terminology Standards Development Organisation (IHTSDO).","ValueSet/ahip-sexual-orientation,ValueSet/ahip-birth-sex"
http://terminology.hl7.org/CodeSystem/v3-MaritalStatus,3.0.0,active,"2.16.840.1.113883.5.2",MaritalStatus,MaritalStatus,"\* \* \* No description supplied \* \* \*    *Open Issue:* The specific meanings of these codes can vary somewhat by jurisdiction and implementation so caution should be used when determining equivalency.    *Open Issue:* fixing and completion of the hierarchy and proper good definitions of all the concepts is badly needed.","ValueSet/ahip-relationship-status"
http://terminology.hl7.org/CodeSystem/v3-NullFlavor,3.0.0,active,"2.16.840.1.113883.5.1008",NullFlavor,NullFlavor,"A collection of codes specifying why a valid value is not present.","ValueSet/ahip-background-black-category,ValueSet/ahip-sexual-orientation,ValueSet/ahip-preferred-pronouns,ValueSet/ahip-demo-gender-identity,ValueSet/ahip-reading-language-prereferences,ValueSet/ahip-religion-spirituality,ValueSet/ahip-background-white-category,ValueSet/ahip-background-middle-eastern-category,ValueSet/ahip-speaking-language-prereferences,ValueSet/ahip-background-native-hawaiian-category,ValueSet/ahip-yes-no,ValueSet/ahip-background-asian-category,ValueSet/ahip-race-category,ValueSet/ahip-background-native-american-category,ValueSet/ahip-birth-sex,ValueSet/ahip-care-consideration,ValueSet/ahip-background-latino-category"
http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,3.0.0,active,"2.16.840.1.113883.5.1076",ReligiousAffiliation,Religious Affiliation,"Assigment of spiritual faith affiliation","ValueSet/ahip-religion-spirituality,ValueSet/ahip-religion-christian-detail"
urn:oid:2.16.840.1.113883.6.238,3.0.2,active,"2.16.840.1.113883.6.238",CDCREC,CDC Race and Ethnicity,"The U.S. Centers for Disease Control and Prevention (CDC) has prepared a code set for use in coding race and ethnicity data. This code set is based on current federal standards for classifying data on race and ethnicity, specifically the minimum race and ethnicity categories defined by the U.S. Office of Management and Budget (OMB) and a more detailed set of race and ethnicity categories maintained by the U.S. Bureau of the Census (BC). The main purpose of the code set is to facilitate use of federal standards for classifying data on race and ethnicity when these data are exchanged, stored, retrieved, or analyzed in electronic form. At the same time, the code set can be applied to paper-based record systems to the extent that these systems are used to collect, maintain, and report data on race and ethnicity in accordance with current federal standards.    The content is available at https://phinvads.cdc.gov/vads/ViewCodeSystem.action?id=2.16.840.1.113883.6.238#.","ValueSet/ahip-background-white-category,ValueSet/ahip-background-black-category,ValueSet/ahip-background-middle-eastern-category,ValueSet/ahip-background-native-hawaiian-category,ValueSet/ahip-background-asian-category,ValueSet/ahip-race-category,ValueSet/ahip-background-native-american-category,ValueSet/ahip-background-latino-category"
