URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://ahip.org/demographics/ValueSet/ahip-background-asian-category,0.1.0,draft,,AHIPBackgroundAsianCategories,AHIP Asian Background Categories,"AHIP Asian Background Categories",,"THO (V3),hl7.terminology.r4,Other"
http://ahip.org/demographics/ValueSet/ahip-background-black-category,0.1.0,draft,,AHIPBackgroundBlackCategories,AHIP Black Background Categories,"AHIP Black Background Categories",,"THO (V3),hl7.terminology.r4,Other"
http://ahip.org/demographics/ValueSet/ahip-background-latino-category,0.1.0,draft,,AHIPBackgroundLatinoCategories,AHIP Hispanic Latino Background Categories,"AHIP Hispanic Latino Background Categories",,"THO (V3),hl7.terminology.r4,Other"
http://ahip.org/demographics/ValueSet/ahip-background-middle-eastern-category,0.1.0,draft,,AHIPBackgroundMiddleEasternCategories,AHIP Middle Eastern Background Categories,"AHIP Middle Eastern Background Categories",,"THO (V3),hl7.terminology.r4,Other"
http://ahip.org/demographics/ValueSet/ahip-background-native-american-category,0.1.0,draft,,AHIPBackgroundNativeAmericanCategories,AHIP Native American Background Categories,"AHIP Native American Background Categories",,"THO (V3),hl7.terminology.r4,Other"
http://ahip.org/demographics/ValueSet/ahip-background-native-hawaiian-category,0.1.0,draft,,AHIPRaceNativeHawaiianCategories,AHIP Native Hawaiian Background Categories,"AHIP Native Hawaiian Background Categories",,"THO (V3),hl7.terminology.r4,Other"
http://ahip.org/demographics/ValueSet/ahip-background-white-category,0.1.0,draft,,AHIPBackgroundWhiteCategories,AHIP White Background Categories,"AHIP White Background Categories",,"THO (V3),hl7.terminology.r4,Other"
http://ahip.org/demographics/ValueSet/ahip-birth-sex,0.1.0,draft,,AHIPBirthSex,AHIP Birth Sex,"Based on SNOMED CT and US Core Birth Sex Value Set",,"THO (V3),SCT,Other"
http://ahip.org/demographics/ValueSet/ahip-care-consideration,0.1.0,draft,,AHIPCareConsideration,AHIP Care Consideration Value Set,"AHIP Care Consideration Codes",,"THO (V3),Other"
http://ahip.org/demographics/ValueSet/ahip-demo-gender-identity,0.1.0,draft,,AHIPDemoGenderIdentityValueSet,AHIP Gender,"Based on HL7 Gender-Identity",,"THO (V3),hl7.fhir.r4.core,Other"
http://ahip.org/demographics/ValueSet/ahip-disability,0.1.0,draft,,AHIPDisability,AHIP Disability,"Based on our own list of disabilities",,"Other"
http://ahip.org/demographics/ValueSet/ahip-interpreter-modes,0.1.0,draft,,AHIPInterpreterModes,AHIP Interpreter Modes,"Interpreter Modes",,"Other"
http://ahip.org/demographics/ValueSet/ahip-military-service-period,0.1.0,draft,,AHIPMilitaryPeriod,AHIP US Military Service Period Codes,"AHIP US Military Service Period Codes",,"Other"
http://ahip.org/demographics/ValueSet/ahip-outreach-mode,0.1.0,draft,,AHIPOutreachMode,AHIP Outreach Modes,"Outreach Modes",,"Other"
http://ahip.org/demographics/ValueSet/ahip-preferred-pronouns,0.1.0,draft,,AHIPPreferredPronouns,AHIP Preferred Pronouns,"Based on LOINC",,"THO (V3),LOINC,Other"
http://ahip.org/demographics/ValueSet/ahip-race-category,0.1.0,draft,,AHIPRaceCategories,AHIP Race Categories,"Based on OMB Categories but adding Hispanic/Latino for consistency",,"THO (V3),hl7.terminology.r4,Other"
http://ahip.org/demographics/ValueSet/ahip-reading-language-prereferences,0.1.0,draft,,AHIPReadingLanguagePreferences,AHIP Reading Language Preferences,"Based on IETF 3066 Language Codes",,"THO (V3),Other"
http://ahip.org/demographics/ValueSet/ahip-relationship-status,0.1.0,draft,,AHIPRelationshipStatus,AHIP Relationship Status,"Based on HL7 Marital Status Value Set",,"THO (V3),Other"
http://ahip.org/demographics/ValueSet/ahip-religion-christian-detail,0.1.0,draft,,AHIPReligionChristianDetail,AHIP Christian Religion Detail Value Set,"AHIP Christian Religion Detail Codes",,"THO (V3),Other"
http://ahip.org/demographics/ValueSet/ahip-religion-jewish-detail,0.1.0,draft,,AHIPReligionJewishDetail,AHIP Jewish Religion Detail Value Set,"AHIP Jewish Religion Detail Codes",,"Other"
http://ahip.org/demographics/ValueSet/ahip-religion-spirituality,0.1.0,draft,,AHIPReligionSpirituality,AHIP Religion/Spirituality Value Set,"Based on HL7 Religion Value Set",,"THO (V3),Other"
http://ahip.org/demographics/ValueSet/ahip-sexual-orientation,0.1.0,draft,,AHIPSexualOrientation,AHIP Sexual Orientation,"Based on SNOMED CT and US Core Orientation Value Set",,"THO (V3),SCT,Other"
http://ahip.org/demographics/ValueSet/ahip-speaking-language-prereferences,0.1.0,draft,,AHIPSpeakingLanguagePreferences,AHIP Speaking Language Preferences,"Based on IETF 3066 Language Codes",,"THO (V3),Other"
http://ahip.org/demographics/ValueSet/ahip-yes-no,0.1.0,draft,,AHIPDemoYesNo,AHIP Yes or No Answer,"Based on LOINC Codes",,"THO (V3),LOINC,Other"
http://ahip.org/demographics/ValueSet/ahip-yes-no-plain,0.1.0,draft,,AHIPDemoYesNoPlain,AHIP Yes or No Answer,"Based on LOINC Codes",,"LOINC,Other"
